scenario_id,scenario_group,comment,canopy density,4-week rainfall history (days),rainfall outlook (2-weeks),Landscape position,Soil type,region,baseline_min,baseline_max,baseline_mode,baseline_confidence,treatment_min,treatment_max,treatment_mode,treatment_confidence
1,canopy density,,dense,50%,70%,valley,clay,gero,,,,,,,,
2,canopy density,,moderate,50%,70%,valley,clay,gero,,,,,,,,
3,canopy density,,sparse,50%,70%,valley,clay,gero,,,,,,,,
4,canopy density,,dense,50%,50%,valley,clay,gero,,,,,,,,
5,canopy density,,moderate,50%,50%,valley,clay,gero,,,,,,,,
6,canopy density,,sparse,50%,50%,valley,clay,gero,,,,,,,,
7,canopy density,,dense,30%,70%,valley,clay,gero,,,,,,,,
8,canopy density,,moderate,30%,70%,valley,clay,gero,,,,,,,,
9,canopy density,,sparse,30%,70%,valley,clay,gero,,,,,,,,
10,canopy density,,dense,20%,70%,valley,clay,gero,,,,,,,,
11,canopy density,,moderate,20%,70%,valley,clay,gero,,,,,,,,
12,canopy density,,sparse,20%,70%,valley,clay,gero,,,,,,,,
13,position,,dense,50%,50%,valley,clay,gero,,,,,,,,
14,position,,dense,50%,50%,slope,clay,gero,,,,,,,,
15,position,,dense,50%,50%,ridge,clay,gero,,,,,,,,
16,position,,dense,20%,50%,valley,clay,gero,,,,,,,,
17,position,,dense,20%,50%,slope,clay,gero,,,,,,,,
18,position,,dense,20%,50%,ridge,clay,gero,,,,,,,,
19,position,,dense,50%,30%,valley,clay,gero,,,,,,,,
20,position,,dense,50%,30%,slope,clay,gero,,,,,,,,
21,position,,dense,50%,30%,ridge,clay,gero,,,,,,,,
22,position,,dense,50%,15%,valley,clay,gero,,,,,,,,
23,position,,dense,50%,15%,slope,clay,gero,,,,,,,,
24,position,,dense,50%,15%,ridge,clay,gero,,,,,,,,
25,soil,,dense,50%,50%,valley,clay,gero,,,,,,,,
26,soil,,dense,50%,50%,ridge,clay,gero,,,,,,,,
33,soil,,dense,50%,50%,valley,sand,gero,,,,,,,,
34,soil,,dense,50%,50%,ridge,sand,gero,,,,,,,,
35,soil,,dense,20%,50%,valley,sand,gero,,,,,,,,
36,soil,,dense,20%,50%,ridge,sand,gero,,,,,,,,
37,soil,,dense,50%,30%,valley,sand,gero,,,,,,,,
38,soil,,dense,50%,30%,ridge,sand,gero,,,,,,,,
39,soil,,dense,50%,15%,valley,sand,gero,,,,,,,,
40,soil,,dense,50%,15%,ridge,sand,gero,,,,,,,,
